x,y,err
0.0000,0.0000,0.1000
0.0000,1000.0000,0.1000
0.0000,2000.0000,0.1000
0.0000,3000.0000,0.1000
0.0000,4000.0000,0.1000
0.0000,5000.0000,0.1000
0.0000,6000.0000,0.1000
0.0000,7000.0000,0.1000
0.0000,8000.0000,0.1000
0.0000,9000.0000,0.1000
0.0000,10000.0000,0.1000
1000.0000,0.0000,0.1000
1000.0000,1000.0000,0.1000
1000.0000,2000.0000,0.1000
1000.0000,3000.0000,0.1000
1000.0000,4000.0000,0.1000
1000.0000,5000.0000,0.1000
1000.0000,6000.0000,0.1000
1000.0000,7000.0000,0.1000
1000.0000,8000.0000,0.1000
1000.0000,9000.0000,0.1000
1000.0000,10000.0000,0.1000
2000.0000,0.0000,0.1000
2000.0000,1000.0000,0.1000
2000.0000,2000.0000,0.1000
2000.0000,3000.0000,0.1000
2000.0000,4000.0000,0.1000
2000.0000,5000.0000,0.1000
2000.0000,6000.0000,0.1000
2000.0000,7000.0000,0.1000
2000.0000,8000.0000,0.1000
2000.0000,9000.0000,0.1000
2000.0000,10000.0000,0.1000
3000.0000,0.0000,1.1000
3000.0000,1000.0000,0.1000
3000.0000,2000.0000,0.1000
3000.0000,3000.0000,0.1000
3000.0000,4000.0000,0.1000
3000.0000,5000.0000,0.1000
3000.0000,6000.0000,0.1000
3000.0000,7000.0000,0.1000
3000.0000,8000.0000,0.1000
3000.0000,9000.0000,0.1000
3000.0000,10000.0000,0.1000
4000.0000,0.0000,1.1000
4000.0000,1000.0000,1.1000
4000.0000,2000.0000,1.1000
4000.0000,3000.0000,1.1000
4000.0000,4000.0000,0.1000
4000.0000,5000.0000,0.1000
4000.0000,6000.0000,0.1000
4000.0000,7000.0000,0.1000
4000.0000,8000.0000,0.1000
4000.0000,9000.0000,0.1000
4000.0000,10000.0000,0.1000
5000.0000,0.0000,0.1000
5000.0000,1000.0000,0.1000
5000.0000,2000.0000,1.1000
5000.0000,3000.0000,1.1000
5000.0000,4000.0000,1.1000
5000.0000,5000.0000,1.1000
5000.0000,6000.0000,1.1000
5000.0000,7000.0000,0.1000
5000.0000,8000.0000,0.1000
5000.0000,9000.0000,0.1000
5000.0000,10000.0000,0.1000
6000.0000,0.0000,0.1000
6000.0000,1000.0000,0.1000
6000.0000,2000.0000,0.1000
6000.0000,3000.0000,0.1000
6000.0000,4000.0000,0.1000
6000.0000,5000.0000,1.1000
6000.0000,6000.0000,1.1000
6000.0000,7000.0000,1.1000
6000.0000,8000.0000,1.1000
6000.0000,9000.0000,1.1000
6000.0000,10000.0000,1.1000
7000.0000,0.0000,0.1000
7000.0000,1000.0000,0.1000
7000.0000,2000.0000,0.1000
7000.0000,3000.0000,0.1000
7000.0000,4000.0000,0.1000
7000.0000,5000.0000,0.1000
7000.0000,6000.0000,0.1000
7000.0000,7000.0000,0.1000
7000.0000,8000.0000,0.1000
7000.0000,9000.0000,1.1000
7000.0000,10000.0000,1.1000
8000.0000,0.0000,0.1000
8000.0000,1000.0000,0.1000
8000.0000,2000.0000,0.1000
8000.0000,3000.0000,0.1000
8000.0000,4000.0000,0.1000
8000.0000,5000.0000,0.1000
8000.0000,6000.0000,0.1000
8000.0000,7000.0000,0.1000
8000.0000,8000.0000,0.1000
8000.0000,9000.0000,0.1000
8000.0000,10000.0000,0.1000
9000.0000,0.0000,0.1000
9000.0000,1000.0000,0.1000
9000.0000,2000.0000,0.1000
9000.0000,3000.0000,0.1000
9000.0000,4000.0000,0.1000
9000.0000,5000.0000,0.1000
9000.0000,6000.0000,0.1000
9000.0000,7000.0000,0.1000
9000.0000,8000.0000,0.1000
9000.0000,9000.0000,0.1000
9000.0000,10000.0000,0.1000
10000.0000,0.0000,0.1000
10000.0000,1000.0000,0.1000
10000.0000,2000.0000,0.1000
10000.0000,3000.0000,0.1000
10000.0000,4000.0000,0.1000
10000.0000,5000.0000,0.1000
10000.0000,6000.0000,0.1000
10000.0000,7000.0000,0.1000
10000.0000,8000.0000,0.1000
10000.0000,9000.0000,0.1000
10000.0000,10000.0000,0.1000
