x,y,dx,dy,dz
0.0000,0.0000,0.3280,0.7326,0.0012
0.0000,1000.0000,0.3076,0.7127,0.0013
0.0000,2000.0000,0.2864,0.6916,0.0010
0.0000,3000.0000,0.2637,0.6696,0.0005
0.0000,4000.0000,0.2390,0.6472,0.0000
0.0000,5000.0000,0.2122,0.6250,-0.0004
0.0000,6000.0000,0.1843,0.6036,-0.0007
0.0000,7000.0000,0.1564,0.5829,-0.0013
0.0000,8000.0000,0.1292,0.5622,-0.0021
0.0000,9000.0000,0.1029,0.5408,-0.0031
0.0000,10000.0000,0.0769,0.5182,-0.0042
1000.0000,0.0000,0.3617,0.8569,-0.0001
1000.0000,1000.0000,0.3409,0.8303,-0.0004
1000.0000,2000.0000,0.3193,0.8032,-0.0010
1000.0000,3000.0000,0.2957,0.7756,-0.0015
1000.0000,4000.0000,0.2690,0.7478,-0.0017
1000.0000,5000.0000,0.2390,0.7209,-0.0015
1000.0000,6000.0000,0.2072,0.6957,-0.0011
1000.0000,7000.0000,0.1761,0.6721,-0.0009
1000.0000,8000.0000,0.1469,0.6485,-0.0013
1000.0000,9000.0000,0.1194,0.6239,-0.0021
1000.0000,10000.0000,0.0926,0.5974,-0.0030
2000.0000,0.0000,0.4003,0.9899,-0.0014
2000.0000,1000.0000,0.3790,0.9576,-0.0022
2000.0000,2000.0000,0.3571,0.9255,-0.0032
2000.0000,3000.0000,0.3330,0.8930,-0.0039
2000.0000,4000.0000,0.3044,0.8600,-0.0039
2000.0000,5000.0000,0.2700,0.8282,-0.0028
2000.0000,6000.0000,0.2326,0.7999,-0.0011
2000.0000,7000.0000,0.1975,0.7742,0.0000
2000.0000,8000.0000,0.1666,0.7485,0.0001
2000.0000,9000.0000,0.1389,0.7206,-0.0005
2000.0000,10000.0000,0.1120,0.6899,-0.0014
3000.0000,0.0000,0.4424,1.1270,-0.0027
3000.0000,1000.0000,0.4204,1.0910,-0.0041
3000.0000,2000.0000,0.3987,1.0559,-0.0057
3000.0000,3000.0000,0.3752,1.0204,-0.0070
3000.0000,4000.0000,0.3457,0.9833,-0.0069
3000.0000,5000.0000,0.3054,0.9467,-0.0044
3000.0000,6000.0000,0.2589,0.9166,-0.0004
3000.0000,7000.0000,0.2191,0.8909,0.0021
3000.0000,8000.0000,0.1881,0.8634,0.0024
3000.0000,9000.0000,0.1614,0.8320,0.0016
3000.0000,10000.0000,0.1356,0.7970,0.0005
4000.0000,0.0000,-0.3515,-1.0926,-0.0039
4000.0000,1000.0000,-0.3742,-1.1302,-0.0057
4000.0000,2000.0000,0.4418,1.1897,-0.0080
4000.0000,3000.0000,0.4201,1.1546,-0.0104
4000.0000,4000.0000,0.3936,1.1170,-0.0114
4000.0000,5000.0000,0.3462,1.0755,-0.0068
4000.0000,6000.0000,0.2816,1.0473,0.0023
4000.0000,7000.0000,0.2394,1.0241,0.0060
4000.0000,8000.0000,0.2116,0.9934,0.0056
4000.0000,9000.0000,0.1876,0.9577,0.0039
4000.0000,10000.0000,0.1635,0.9186,0.0024
5000.0000,0.0000,-0.3086,-0.9634,-0.0048
5000.0000,1000.0000,-0.3319,-1.0009,-0.0067
5000.0000,2000.0000,-0.3535,-1.0359,-0.0093
5000.0000,3000.0000,-0.3736,-1.0685,-0.0126
5000.0000,4000.0000,0.4440,1.2569,-0.0163
5000.0000,5000.0000,0.4035,1.2184,-0.0132
5000.0000,6000.0000,0.2900,1.2038,0.0116
5000.0000,7000.0000,0.2606,1.1728,0.0117
5000.0000,8000.0000,0.2388,1.1345,0.0089
5000.0000,9000.0000,0.2175,1.0945,0.0061
5000.0000,10000.0000,0.1952,1.0527,0.0039
6000.0000,0.0000,-0.2678,-0.8451,-0.0052
6000.0000,1000.0000,-0.2913,-0.8818,-0.0068
6000.0000,2000.0000,-0.3126,-0.9168,-0.0089
6000.0000,3000.0000,-0.3317,-0.9509,-0.0112
6000.0000,4000.0000,-0.3466,-0.9865,-0.0129
6000.0000,5000.0000,-0.3263,-1.0433,-0.0029
6000.0000,6000.0000,-0.2635,-1.0768,0.0175
6000.0000,7000.0000,-0.2798,-1.1176,0.0143
6000.0000,8000.0000,0.2695,1.2761,0.0105
6000.0000,9000.0000,0.2497,1.2360,0.0072
6000.0000,10000.0000,0.2289,1.1952,0.0047
7000.0000,0.0000,-0.2299,-0.7397,-0.0052
7000.0000,1000.0000,-0.2525,-0.7750,-0.0061
7000.0000,2000.0000,-0.2721,-0.8102,-0.0071
7000.0000,3000.0000,-0.2874,-0.8471,-0.0074
7000.0000,4000.0000,-0.2928,-0.8890,-0.0054
7000.0000,5000.0000,-0.2747,-0.9340,0.0024
7000.0000,6000.0000,-0.2513,-0.9638,0.0108
7000.0000,7000.0000,-0.2549,-0.9912,0.0119
7000.0000,8000.0000,-0.2699,-1.0237,0.0098
7000.0000,9000.0000,-0.2877,-1.0581,0.0070
7000.0000,10000.0000,-0.3068,-1.0934,0.0046
8000.0000,0.0000,-0.1956,-0.6470,-0.0049
8000.0000,1000.0000,-0.2163,-0.6800,-0.0051
8000.0000,2000.0000,-0.2335,-0.7136,-0.0050
8000.0000,3000.0000,-0.2453,-0.7488,-0.0041
8000.0000,4000.0000,-0.2483,-0.7858,-0.0016
8000.0000,5000.0000,-0.2408,-0.8205,0.0030
8000.0000,6000.0000,-0.2324,-0.8477,0.0073
8000.0000,7000.0000,-0.2343,-0.8711,0.0089
8000.0000,8000.0000,-0.2453,-0.8959,0.0081
8000.0000,9000.0000,-0.2606,-0.9223,0.0061
8000.0000,10000.0000,-0.2780,-0.9495,0.0039
9000.0000,0.0000,-0.1653,-0.5660,-0.0045
9000.0000,1000.0000,-0.1841,-0.5956,-0.0041
9000.0000,2000.0000,-0.1992,-0.6257,-0.0033
9000.0000,3000.0000,-0.2094,-0.6564,-0.0020
9000.0000,4000.0000,-0.2137,-0.6867,0.0002
9000.0000,5000.0000,-0.2128,-0.7143,0.0031
9000.0000,6000.0000,-0.2118,-0.7372,0.0056
9000.0000,7000.0000,-0.2155,-0.7569,0.0068
9000.0000,8000.0000,-0.2250,-0.7756,0.0066
9000.0000,9000.0000,-0.2385,-0.7943,0.0052
9000.0000,10000.0000,-0.2546,-0.8125,0.0031
10000.0000,0.0000,-0.1394,-0.4953,-0.0041
10000.0000,1000.0000,-0.1564,-0.5209,-0.0032
10000.0000,2000.0000,-0.1702,-0.5466,-0.0021
10000.0000,3000.0000,-0.1801,-0.5721,-0.0007
10000.0000,4000.0000,-0.1862,-0.5964,0.0012
10000.0000,5000.0000,-0.1895,-0.6181,0.0032
10000.0000,6000.0000,-0.1928,-0.6365,0.0049
10000.0000,7000.0000,-0.1986,-0.6518,0.0058
10000.0000,8000.0000,-0.2082,-0.6652,0.0057
10000.0000,9000.0000,-0.2212,-0.6770,0.0046
10000.0000,10000.0000,-0.2368,-0.6869,0.0026
